graph_id,num_nodes,num_edges,num_depots,num_fires,num_starters,final_eval_reward,final_eval_std,avg_reward_last_100,avg_fires_last_100,avg_steps_last_100,convergence_std
1,18,46,1,8,9,449.3125,0.0,440.324208984375,8.0,135.7,15.04558854649294
2,13,25,1,5,7,233.25,0.0,223.673828125,5.0,37.56,16.64622785206549
3,16,32,1,5,10,256.5625,0.0,248.5555859375,5.0,62.27,25.37873491947493
4,15,34,2,6,7,294.50390625,0.0,289.41830078125,6.0,65.34,26.619231429329417
5,13,29,2,7,4,361.1953125,0.0,348.527060546875,7.0,65.48,25.142980855866966
