steps,actions,rewards,states,agent_positions,transit_status,water_levels,fire_levels,final_destinations,transit_targets
0,"[3, 2, 0]",1.2000000000000002,"[2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 8.0, 8.0, 8.0, 5.0, 10.0, 15.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['starter_0', 'starter_0', 'starter_0']","[False, False, False]","[5, 10, 15]","[50, 30, 40, 50, 45]","['None', 'None', 'None']","['None', 'None', 'None']"
1,"[1, 0, 2]",0.0,"[2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 8.0, 8.0, 8.0, 5.0, 10.0, 15.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['starter_0', 'starter_0', 'starter_0']","[True, True, True]","[5, 10, 15]","[50, 30, 40, 50, 45]","['fire_3', 'fire_2', 'fire_0']","['depot_0', 'depot_0', 'fire_0']"
2,"[1, 0, 2]",7.5,"[3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 5.0, 5.0, 8.0, 5.0, 10.0, 15.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'depot_0', 'starter_0']","[True, True, True]","[5, 10, 15]","[50, 30, 40, 50, 45]","['fire_3', 'fire_2', 'fire_0']","['depot_1', 'fire_2', 'fire_0']"
3,"[1, 2, 5]",5.8,"[3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 0.0, 9.0, 5.0, 9.0, 13.0, 3.0, 6.0, 10.0, 5.0, 5.0, 0.0, 5.0, 10.0, 0.0, 35.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'depot_0', 'fire_0']","[True, True, False]","[5, 10, 0]","[35, 30, 40, 50, 45]","['fire_3', 'fire_2', 'None']","['depot_1', 'fire_2', 'None']"
4,"[5, 0, 2]",-0.2,"[3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 5.0, 8.0, 0.0, 8.0, 12.0, 2.0, 5.0, 9.0, 0.0, 9.0, 5.0, 9.0, 13.0, 3.0, 6.0, 10.0, 5.0, 2.0, 0.0, 5.0, 0.0, 0.0, 35.0, 30.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'fire_2', 'fire_0']","[True, False, True]","[5, 0, 0]","[35, 30, 30, 50, 45]","['fire_3', 'None', 'depot_0']","['depot_1', 'None', 'starter_0']"
5,"[2, 7, 3]",0.0,"[6.0, 3.0, 5.0, 3.0, 7.0, 3.0, 0.0, 4.0, 5.0, 8.0, 0.0, 8.0, 12.0, 2.0, 5.0, 9.0, 0.0, 9.0, 5.0, 9.0, 13.0, 3.0, 6.0, 10.0, 6.0, 2.0, 0.0, 5.0, 0.0, 0.0, 35.0, 30.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_1', 'fire_2', 'fire_0']","[True, True, True]","[5, 0, 0]","[35, 30, 30, 50, 45]","['fire_3', 'fire_0', 'depot_0']","['fire_3', 'depot_0', 'starter_0']"
6,"[3, 1, 4]",7.5,"[6.0, 3.0, 5.0, 3.0, 7.0, 3.0, 0.0, 4.0, 5.0, 8.0, 0.0, 8.0, 12.0, 2.0, 5.0, 9.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 6.0, 2.0, 8.0, 5.0, 0.0, 0.0, 35.0, 30.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_1', 'fire_2', 'starter_0']","[True, True, True]","[5, 0, 0]","[35, 30, 30, 50, 45]","['fire_3', 'fire_0', 'depot_0']","['fire_3', 'depot_0', 'depot_0']"
7,"[1, 7, 0]",2.9,"[6.0, 3.0, 5.0, 3.0, 7.0, 3.0, 0.0, 4.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 6.0, 5.0, 5.0, 5.0, 0.0, 15.0, 35.0, 30.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_1', 'depot_0', 'depot_0']","[True, True, False]","[5, 0, 15]","[35, 30, 30, 50, 45]","['fire_3', 'fire_0', 'None']","['fire_3', 'starter_0', 'None']"
8,"[6, 0, 0]",0.8,"[9.0, 6.0, 8.0, 0.0, 10.0, 6.0, 3.0, 7.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 3.0, 8.0, 5.0, 0.0, 0.0, 15.0, 35.0, 30.0, 30.0, 45.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['fire_3', 'starter_0', 'depot_0']","[False, True, True]","[0, 0, 15]","[35, 30, 30, 45, 45]","['None', 'fire_0', 'fire_0']","['None', 'fire_0', 'starter_0']"
9,"[6, 0, 0]",-1.0,"[9.0, 6.0, 8.0, 0.0, 10.0, 6.0, 3.0, 7.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 3.0, 8.0, 8.0, 0.0, 0.0, 15.0, 35.0, 30.0, 30.0, 45.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['fire_3', 'starter_0', 'starter_0']","[True, True, True]","[0, 0, 15]","[35, 30, 30, 45, 45]","['depot_1', 'fire_0', 'fire_0']","['depot_1', 'fire_0', 'fire_0']"
