graph_id,num_nodes,num_edges,num_depots,num_fires,num_starters,final_eval_reward,final_eval_std,avg_reward_last_100,avg_fires_last_100,avg_steps_last_100,convergence_std
1,18,46,4,6,8,266.625,0.0,253.17677734375,6.0,42.07,41.61471941693275
2,13,25,3,4,6,189.0,0.0,178.91375,4.0,26.83,20.528516332470303
3,16,32,4,5,7,232.5625,0.0,212.42,5.0,39.64,27.784610734223786
4,15,34,2,3,10,149.5625,0.0,140.413125,3.0,23.73,11.223370897233815
5,13,29,4,5,4,245.05078125,0.0,237.7489453125,5.0,46.08,15.124010611515514
