graph_id,num_nodes,num_edges,num_depots,num_fires,num_starters,final_eval_reward,final_eval_std,avg_reward_last_100,avg_fires_last_100,avg_steps_last_100,convergence_std
1,18,46,4,4,10,222.5,0.0,221.38875,4.0,63.4,9.815058951761955
2,13,25,2,4,7,184.421875,0.0,179.96328125,4.0,29.89,13.893903116951769
3,16,32,2,4,10,219.25,0.0,210.85328125,4.0,50.58,11.628362436898291
4,15,34,4,5,6,245.48828125,0.0,248.67265625,5.0,42.15,12.962185238407338
5,13,29,3,6,4,305.6748046875,0.0,299.31466796875,6.0,70.85,23.468912379196556
