graph_id,num_nodes,num_edges,num_depots,num_fires,num_starters,final_eval_reward,final_eval_std,avg_reward_last_100,avg_fires_last_100,avg_steps_last_100,convergence_std
1,18,25,2,4,12,196.875,0.0,193.34171875,4.0,50.73,5.561684304219782
2,13,16,2,6,5,283.3125,0.0,280.01875,6.0,45.87,11.310588190381717
3,16,18,2,5,9,-1998.0,0.0,219.409375,5.0,39.79,46.32991438365578
4,15,17,2,6,7,298.5,0.0,285.1978125,6.0,53.12,9.269282904648355
5,13,18,2,4,7,196.875,0.0,194.7596875,4.0,39.44,20.433180184234814
