steps,actions,rewards,states,agent_positions,transit_status,water_levels,fire_levels,final_destinations,transit_targets
0,"[5, 2, 1]",0.6000000000000001,"[2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 8.0, 8.0, 8.0, 5.0, 10.0, 15.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['starter_0', 'starter_0', 'starter_0']","[False, False, False]","[5, 10, 15]","[50, 30, 40, 50, 45]","['None', 'None', 'None']","['None', 'None', 'None']"
1,"[5, 4, 9]",-1.0,"[2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 8.0, 8.0, 8.0, 5.0, 10.0, 15.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['starter_0', 'starter_0', 'starter_0']","[True, True, True]","[5, 10, 15]","[50, 30, 40, 50, 45]","['depot_0', 'fire_2', 'fire_1']","['depot_0', 'depot_0', 'depot_0']"
2,"[8, 5, 9]",0.0,"[3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 5.0, 5.0, 5.0, 5.0, 10.0, 15.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'depot_0', 'depot_0']","[False, True, True]","[5, 10, 15]","[50, 30, 40, 50, 45]","['None', 'fire_2', 'fire_1']","['None', 'fire_2', 'depot_1']"
3,"[0, 2, 4]",5.0,"[3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 5.0, 5.0, 5.0, 5.0, 10.0, 15.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'depot_0', 'depot_0']","[True, True, True]","[5, 10, 15]","[50, 30, 40, 50, 45]","['starter_0', 'fire_2', 'fire_1']","['starter_0', 'fire_2', 'depot_1']"
4,"[4, 0, 1]",0.2,"[2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 5.0, 2.0, 0.0, 2.0, 4.0, 2.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 8.0, 2.0, 5.0, 5.0, 0.0, 15.0, 50.0, 30.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['starter_0', 'fire_2', 'depot_0']","[False, False, True]","[5, 0, 15]","[50, 30, 30, 50, 45]","['None', 'None', 'fire_1']","['None', 'None', 'depot_1']"
5,"[4, 4, 5]",0.0,"[2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 5.0, 2.0, 0.0, 2.0, 4.0, 2.0, 6.0, 3.0, 5.0, 3.0, 5.0, 0.0, 8.0, 2.0, 6.0, 5.0, 0.0, 15.0, 50.0, 30.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['starter_0', 'fire_2', 'depot_1']","[True, True, True]","[5, 0, 15]","[50, 30, 30, 50, 45]","['fire_4', 'fire_0', 'fire_1']","['depot_0', 'depot_0', 'starter_1']"
6,"[7, 2, 3]",0.0,"[3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 5.0, 2.0, 0.0, 2.0, 4.0, 2.0, 5.0, 2.0, 4.0, 4.0, 6.0, 1.0, 5.0, 2.0, 9.0, 5.0, 0.0, 15.0, 50.0, 30.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'fire_2', 'starter_1']","[True, True, True]","[5, 0, 15]","[50, 30, 30, 50, 45]","['fire_4', 'fire_0', 'fire_1']","['depot_1', 'depot_0', 'fire_1']"
7,"[8, 0, 9]",7.5,"[3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 5.0, 2.0, 4.0, 4.0, 6.0, 1.0, 5.0, 5.0, 9.0, 5.0, 0.0, 15.0, 50.0, 30.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'depot_0', 'starter_1']","[True, True, True]","[5, 0, 15]","[50, 30, 30, 50, 45]","['fire_4', 'fire_0', 'fire_1']","['depot_1', 'starter_0', 'fire_1']"
8,"[3, 3, 1]",-1.0,"[3.0, 4.0, 2.0, 4.0, 6.0, 0.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 3.0, 0.0, 2.0, 4.0, 6.0, 3.0, 5.0, 8.0, 1.0, 5.0, 0.0, 0.0, 50.0, 15.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'starter_0', 'fire_1']","[True, True, False]","[5, 0, 0]","[50, 15, 30, 50, 45]","['fire_4', 'fire_0', 'None']","['depot_1', 'fire_0', 'None']"
9,"[0, 0, 2]",-1.2,"[6.0, 3.0, 5.0, 3.0, 5.0, 0.0, 2.0, 5.0, 3.0, 5.0, 7.0, 1.0, 3.0, 0.0, 2.0, 4.0, 6.0, 3.0, 6.0, 8.0, 1.0, 5.0, 0.0, 0.0, 50.0, 15.0, 30.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_1', 'starter_0', 'fire_1']","[True, True, False]","[5, 0, 0]","[50, 15, 30, 50, 45]","['fire_4', 'fire_0', 'None']","['depot_2', 'fire_0', 'None']"
